post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score
145,LinkedIn,carousel,01/17/2023 08:55,1148,491,920,Tuesday,negative
146,LinkedIn,carousel,04/11/2023 13:02,1678,299,112,Tuesday,negative
147,Facebook,text,09/14/2023 11:06,4782,795,541,Thursday,positive
148,Twitter,poll,08/21/2023 18:10,2301,319,994,Monday,positive
149,Twitter,carousel,09/27/2023 12:07,317,22,100,Wednesday,neutral
150,Twitter,image,12/01/2023 05:07,4952,371,181,Friday,neutral
151,Twitter,carousel,10/05/2023 16:27,1523,592,960,Thursday,negative
152,LinkedIn,video,12/09/2023 06:11,1622,544,832,Saturday,negative
153,Instagram,text,10/30/2023 02:28,2253,37,290,Monday,negative
154,Twitter,poll,06/09/2023 15:51,864,746,494,Friday,negative
155,Facebook,image,08/03/2023 09:32,793,490,64,Thursday,positive
156,LinkedIn,poll,03/19/2023 02:46,3778,662,925,Sunday,positive
157,Facebook,image,07/22/2023 11:41,794,506,599,Saturday,neutral
158,LinkedIn,poll,03/02/2023 07:25,2881,623,669,Thursday,negative
159,Twitter,video,02/03/2023 15:14,4045,403,753,Friday,positive
160,Twitter,video,07/18/2023 13:06,4994,524,921,Tuesday,positive
161,LinkedIn,image,07/24/2023 17:32,1434,486,418,Monday,neutral
162,Facebook,text,01/25/2023 11:14,4536,740,278,Wednesday,negative
163,Twitter,text,06/12/2023 08:46,2146,742,47,Monday,positive
164,Twitter,carousel,01/13/2023 02:08,4193,782,924,Friday,positive
165,Instagram,carousel,06/01/2023 03:41,4593,580,557,Thursday,neutral
166,Instagram,image,10/17/2023 19:36,4088,793,949,Tuesday,positive
167,Facebook,carousel,03/02/2023 18:52,3654,436,47,Thursday,negative
168,Twitter,poll,01/31/2023 21:24,4665,326,863,Tuesday,neutral
169,LinkedIn,carousel,03/31/2023 13:38,4517,464,137,Friday,negative
170,LinkedIn,video,10/31/2023 21:56,4028,559,663,Tuesday,neutral
171,Instagram,video,03/26/2023 10:13,309,54,862,Sunday,neutral
172,LinkedIn,video,02/12/2023 23:16,643,86,375,Sunday,neutral
173,LinkedIn,text,06/10/2023 12:13,1858,341,122,Saturday,negative
174,LinkedIn,image,02/08/2023 02:45,2004,787,82,Wednesday,neutral
175,Facebook,poll,11/02/2023 17:51,1742,661,874,Thursday,neutral
176,Facebook,poll,06/08/2023 22:19,3029,197,507,Thursday,positive
177,Twitter,image,05/27/2023 07:20,1771,27,912,Saturday,positive
178,Facebook,poll,01/15/2023 12:52,3596,590,786,Sunday,positive
179,Instagram,carousel,02/01/2023 19:52,1563,299,508,Wednesday,negative
180,Facebook,image,10/01/2023 11:06,432,130,755,Sunday,positive
181,Twitter,text,04/08/2023 10:00,803,247,802,Saturday,positive
182,Twitter,video,03/31/2023 19:02,1487,641,50,Friday,neutral
183,Twitter,image,12/25/2023 23:20,2224,699,899,Monday,negative
184,Twitter,carousel,10/22/2023 09:19,1970,352,14,Sunday,neutral
185,Facebook,text,12/24/2023 11:44,661,589,32,Sunday,positive
186,Instagram,video,09/22/2023 14:32,2215,533,145,Friday,neutral
187,Twitter,image,12/14/2023 17:46,569,216,642,Thursday,neutral
188,Twitter,poll,09/10/2023 13:42,2117,596,881,Sunday,neutral
189,Facebook,poll,04/12/2023 03:51,2977,663,28,Wednesday,negative
190,Instagram,text,10/31/2023 13:47,2851,527,93,Tuesday,positive
191,LinkedIn,poll,09/03/2023 13:25,4363,282,385,Sunday,negative
192,Instagram,image,11/23/2023 13:04,4453,491,843,Thursday,neutral
193,LinkedIn,carousel,10/15/2023 21:19,2979,532,307,Sunday,positive
194,Instagram,poll,05/01/2023 08:33,1305,458,912,Monday,negative
195,Twitter,text,11/12/2023 08:25,4223,737,976,Sunday,positive
196,LinkedIn,video,10/02/2023 15:28,4313,653,146,Monday,negative
197,Twitter,text,11/28/2023 02:40,1544,600,805,Tuesday,neutral
198,Facebook,carousel,05/20/2023 14:48,952,408,207,Saturday,positive
199,LinkedIn,carousel,05/23/2023 10:28,4415,312,914,Tuesday,positive
200,LinkedIn,carousel,04/08/2023 01:00,3194,701,425,Saturday,negative
201,Instagram,text,03/02/2023 12:34,2529,722,62,Thursday,negative
202,LinkedIn,video,02/15/2023 11:59,4642,681,616,Wednesday,negative
203,Twitter,video,11/06/2023 05:07,1404,281,571,Monday,negative
204,LinkedIn,video,09/20/2023 11:16,4566,667,74,Wednesday,positive
205,LinkedIn,image,11/26/2023 20:49,1402,199,402,Sunday,positive
206,Twitter,text,03/17/2023 15:46,2283,741,150,Friday,negative
207,Instagram,text,12/27/2023 00:58,3138,355,792,Wednesday,negative
208,Facebook,carousel,10/18/2023 17:21,2536,445,532,Wednesday,negative
209,Facebook,video,09/10/2023 07:53,3248,138,392,Sunday,negative
210,Instagram,text,03/05/2023 03:02,1170,736,252,Sunday,negative
211,LinkedIn,video,05/28/2023 04:20,1365,517,651,Sunday,negative
212,Facebook,text,03/03/2023 08:18,177,298,692,Friday,neutral
213,Instagram,carousel,10/30/2023 19:38,4144,103,949,Monday,positive
214,LinkedIn,poll,10/25/2023 02:19,884,320,999,Wednesday,negative
215,Facebook,video,10/31/2023 17:29,1030,134,611,Tuesday,neutral
216,Instagram,text,08/26/2023 05:24,589,119,160,Saturday,positive
217,Facebook,poll,11/11/2023 19:24,2016,105,182,Saturday,positive
218,Facebook,video,11/06/2023 09:13,693,58,476,Monday,neutral
219,LinkedIn,poll,12/10/2023 17:25,3928,584,352,Sunday,neutral
220,Instagram,video,04/07/2023 04:09,1004,664,810,Friday,negative
221,LinkedIn,image,07/14/2023 12:02,2745,183,183,Friday,neutral
222,Facebook,carousel,11/21/2023 21:46,2216,22,868,Tuesday,neutral
223,Instagram,image,02/18/2023 22:40,677,389,705,Saturday,negative
224,Facebook,carousel,08/02/2023 21:03,2195,666,799,Wednesday,neutral
225,Facebook,image,05/01/2023 18:01,2066,319,478,Monday,negative
226,LinkedIn,text,08/03/2023 13:57,1160,424,732,Thursday,positive
227,Twitter,text,12/24/2023 01:29,2119,270,278,Sunday,neutral
228,Twitter,carousel,09/22/2023 22:35,3604,258,11,Friday,positive
229,Instagram,image,06/22/2023 12:05,2477,349,437,Thursday,positive
230,Facebook,video,07/12/2023 02:49,3116,120,59,Wednesday,neutral
231,Facebook,image,05/22/2023 08:38,4811,672,661,Monday,negative
232,LinkedIn,carousel,08/19/2023 20:50,973,169,172,Saturday,positive
233,Instagram,poll,10/24/2023 08:22,1235,165,722,Tuesday,neutral
234,Twitter,video,05/07/2023 15:06,2020,68,594,Sunday,positive
235,Twitter,text,08/04/2023 18:48,1673,89,560,Friday,negative
236,Instagram,image,03/26/2023 14:37,3231,466,540,Sunday,positive
237,LinkedIn,text,04/08/2023 09:05,4026,230,41,Saturday,positive
238,Instagram,poll,01/02/2023 00:12,4322,750,67,Monday,neutral
239,Twitter,image,09/14/2023 21:46,511,249,594,Thursday,neutral
240,Facebook,video,08/11/2023 21:24,4470,790,466,Friday,positive
241,Instagram,image,09/11/2023 13:18,3911,409,571,Monday,positive
242,Twitter,text,09/16/2023 07:06,665,206,26,Saturday,positive
243,Instagram,text,10/05/2023 05:56,474,441,994,Thursday,positive
244,Twitter,carousel,07/11/2023 11:27,3576,622,514,Tuesday,neutral
245,Instagram,carousel,04/16/2023 06:47,1925,666,347,Sunday,neutral
246,Facebook,image,04/18/2023 03:22,1242,187,721,Tuesday,negative
247,LinkedIn,poll,02/28/2023 08:55,4726,750,26,Tuesday,negative
248,LinkedIn,video,09/04/2023 01:25,1184,729,825,Monday,negative
249,Twitter,poll,04/28/2023 08:18,4680,145,913,Friday,negative
250,Twitter,poll,04/16/2023 02:26,3708,783,95,Sunday,positive
251,Twitter,image,02/25/2023 19:42,1016,93,756,Saturday,neutral
252,Twitter,video,07/21/2023 01:31,4086,229,500,Friday,positive
253,Instagram,video,09/13/2023 14:18,566,707,797,Wednesday,negative
254,Facebook,video,08/24/2023 03:19,355,274,30,Thursday,positive
255,Facebook,poll,12/18/2023 05:08,84,93,897,Monday,neutral
256,Instagram,text,07/10/2023 00:13,2456,92,896,Monday,negative
257,Facebook,image,11/10/2023 16:50,720,508,996,Friday,neutral
258,Facebook,poll,01/30/2023 21:48,569,604,205,Monday,positive
259,LinkedIn,image,07/15/2023 00:14,4352,756,858,Saturday,positive
260,LinkedIn,carousel,05/22/2023 08:46,4637,787,70,Monday,positive
261,Facebook,poll,11/01/2023 16:59,833,456,908,Wednesday,negative
262,Twitter,image,11/23/2023 08:18,4353,309,202,Thursday,positive
263,Facebook,text,02/19/2023 17:54,555,799,181,Sunday,positive
264,Instagram,carousel,07/30/2023 09:53,2629,536,546,Sunday,negative
265,Instagram,poll,12/17/2023 21:06,3864,700,126,Sunday,negative
266,Facebook,video,01/03/2023 21:13,4247,430,419,Tuesday,neutral
267,Facebook,poll,07/04/2023 16:10,914,505,997,Tuesday,positive
268,Twitter,video,11/17/2023 10:06,1107,497,97,Friday,negative
269,LinkedIn,carousel,06/16/2023 05:02,1195,33,78,Friday,negative
270,Instagram,carousel,11/24/2023 03:09,2477,374,314,Friday,positive
271,Instagram,carousel,07/04/2023 22:57,775,355,60,Tuesday,neutral
272,Twitter,carousel,12/13/2023 17:08,2576,38,551,Wednesday,positive
273,LinkedIn,image,09/07/2023 01:18,2798,112,41,Thursday,negative
274,Facebook,text,04/19/2023 14:46,3383,668,358,Wednesday,positive
275,Twitter,carousel,12/02/2023 15:58,4016,36,12,Saturday,positive
276,Facebook,video,10/22/2023 21:15,476,332,329,Sunday,negative
277,Facebook,video,03/31/2023 19:51,4217,660,462,Friday,neutral
278,Twitter,video,07/11/2023 20:10,1198,48,748,Tuesday,neutral
279,Twitter,video,10/06/2023 14:02,3345,175,568,Friday,neutral
280,Facebook,carousel,02/25/2023 10:52,4380,560,601,Saturday,negative
281,Instagram,text,01/21/2023 07:36,416,647,751,Saturday,neutral
282,Twitter,image,03/29/2023 18:36,2210,288,31,Wednesday,positive
283,LinkedIn,image,05/23/2023 14:26,4380,72,543,Tuesday,positive
284,Instagram,video,02/14/2023 10:17,1889,140,35,Tuesday,negative
285,Instagram,poll,02/25/2023 01:11,2325,552,666,Saturday,positive
286,Twitter,text,01/22/2023 02:05,1657,425,187,Sunday,negative
287,Twitter,text,02/15/2023 08:23,3030,59,824,Wednesday,neutral
288,LinkedIn,carousel,11/10/2023 10:39,1970,623,196,Friday,neutral
289,Twitter,poll,09/14/2023 06:08,3713,356,397,Thursday,positive
290,Twitter,text,05/19/2023 01:24,2171,687,876,Friday,positive
291,Instagram,poll,09/13/2023 17:30,4575,531,825,Wednesday,positive
292,LinkedIn,poll,01/05/2023 13:34,291,544,211,Thursday,negative
293,Facebook,carousel,05/31/2023 12:32,3560,167,868,Wednesday,neutral
294,LinkedIn,poll,08/01/2023 12:50,509,751,724,Tuesday,negative
295,Facebook,video,02/15/2023 17:47,1936,170,92,Wednesday,positive
296,Facebook,carousel,04/03/2023 09:43,2217,47,870,Monday,positive
297,LinkedIn,text,06/15/2023 15:51,4753,314,402,Thursday,neutral
298,Facebook,poll,08/30/2023 23:20,866,509,767,Wednesday,positive
299,Instagram,carousel,04/08/2023 11:55,2129,268,664,Saturday,positive
300,LinkedIn,video,08/26/2023 07:07,3365,522,840,Saturday,positive
301,Twitter,image,04/20/2023 00:44,1050,452,26,Thursday,neutral
302,Twitter,text,12/15/2023 12:17,4346,28,957,Friday,neutral
303,Twitter,poll,11/19/2023 14:55,4739,294,801,Sunday,positive
304,LinkedIn,video,05/19/2023 12:44,474,473,829,Friday,neutral
305,Instagram,text,10/28/2023 18:55,2574,650,204,Saturday,negative
306,Instagram,text,11/01/2023 13:37,4505,54,993,Wednesday,negative
307,Instagram,carousel,02/16/2023 10:48,4171,661,317,Thursday,positive
308,Twitter,image,01/12/2023 17:23,1456,476,561,Thursday,negative
309,LinkedIn,image,11/22/2023 18:28,1887,259,723,Wednesday,neutral
310,Twitter,carousel,09/16/2023 16:53,3619,338,165,Saturday,neutral
311,Facebook,text,01/18/2023 16:15,2801,451,257,Wednesday,positive
312,Twitter,image,04/06/2023 13:35,4452,341,475,Thursday,neutral
313,Instagram,carousel,07/26/2023 17:59,2726,792,99,Wednesday,neutral
314,Instagram,poll,06/18/2023 03:22,574,592,626,Sunday,negative
315,Twitter,image,01/18/2023 12:13,4518,50,154,Wednesday,positive
316,Twitter,text,05/03/2023 19:59,644,180,816,Wednesday,positive
317,Instagram,carousel,04/13/2023 04:41,1474,190,388,Thursday,negative
318,LinkedIn,video,05/06/2023 07:15,1476,23,761,Saturday,neutral
319,LinkedIn,video,12/12/2023 00:32,1871,734,432,Tuesday,positive
320,Twitter,video,12/19/2023 18:55,2957,745,771,Tuesday,negative
321,Twitter,video,08/19/2023 03:58,823,390,141,Saturday,negative
322,LinkedIn,carousel,03/09/2023 14:45,3538,128,21,Thursday,neutral
323,LinkedIn,image,11/11/2023 06:12,897,115,562,Saturday,neutral
324,Instagram,carousel,11/26/2023 13:58,1037,566,403,Sunday,positive
325,Twitter,carousel,10/11/2023 14:32,1869,419,178,Wednesday,neutral
326,LinkedIn,carousel,07/19/2023 17:18,3271,407,942,Wednesday,positive
327,LinkedIn,carousel,11/24/2023 00:47,731,390,124,Friday,neutral
328,Facebook,poll,11/18/2023 09:36,182,695,610,Saturday,negative
329,Twitter,video,10/30/2023 21:44,3912,313,588,Monday,negative
330,Twitter,video,10/27/2023 00:47,845,667,417,Friday,positive
331,Twitter,poll,04/02/2023 14:15,1561,71,905,Sunday,negative
332,Twitter,text,04/13/2023 17:47,780,273,266,Thursday,positive
333,Twitter,text,05/08/2023 21:36,1654,209,752,Monday,negative
334,Facebook,text,01/09/2023 00:19,785,484,518,Monday,negative
335,LinkedIn,text,11/21/2023 17:40,853,647,563,Tuesday,neutral
336,LinkedIn,poll,06/17/2023 11:19,3090,756,795,Saturday,negative
337,Instagram,image,05/02/2023 21:38,3135,32,953,Tuesday,neutral
338,Facebook,poll,10/07/2023 10:17,883,321,924,Saturday,positive
339,Twitter,image,04/17/2023 21:09,815,49,413,Monday,positive
340,Facebook,carousel,05/20/2023 03:57,2261,32,586,Saturday,positive
341,LinkedIn,video,02/07/2023 11:23,1298,313,407,Tuesday,positive
342,Twitter,text,11/23/2023 05:26,4502,483,355,Thursday,neutral
343,Facebook,carousel,02/08/2023 08:09,4442,667,601,Wednesday,positive
344,Instagram,video,07/26/2023 02:13,2211,699,235,Wednesday,neutral
345,Instagram,image,11/23/2023 14:49,3142,130,207,Thursday,positive
346,Twitter,video,11/20/2023 21:53,3360,479,826,Monday,positive
347,Instagram,video,07/12/2023 17:32,4803,668,663,Wednesday,positive
348,Instagram,text,03/20/2023 08:51,2606,271,998,Monday,neutral
349,Facebook,video,05/23/2023 10:46,1421,73,851,Tuesday,positive
350,LinkedIn,text,12/17/2023 13:25,2135,243,660,Sunday,positive
351,Facebook,text,07/22/2023 21:48,4417,645,920,Saturday,neutral
352,Instagram,poll,05/31/2023 03:51,2871,729,152,Wednesday,positive
353,Twitter,video,06/24/2023 08:53,1555,54,314,Saturday,neutral
354,LinkedIn,image,06/29/2023 13:11,945,680,281,Thursday,positive
355,Instagram,text,03/19/2023 08:14,95,668,786,Sunday,neutral
356,Instagram,text,12/31/2023 01:09,566,583,789,Sunday,negative
357,LinkedIn,video,10/03/2023 00:36,2725,20,881,Tuesday,positive
358,Instagram,video,01/30/2023 07:56,2985,308,999,Monday,positive
359,LinkedIn,poll,09/03/2023 23:04,1599,733,942,Sunday,neutral
360,LinkedIn,video,03/30/2023 02:35,605,71,952,Thursday,positive
361,Instagram,video,08/04/2023 06:01,1187,438,600,Friday,negative
362,Facebook,video,02/10/2023 12:08,2801,171,161,Friday,negative
363,LinkedIn,video,08/17/2023 11:21,3678,225,179,Thursday,neutral
364,Facebook,video,01/28/2023 23:22,1695,708,811,Saturday,negative
365,Instagram,text,02/06/2023 23:48,3550,693,228,Monday,negative
366,LinkedIn,image,06/16/2023 16:43,1631,349,10,Friday,positive
367,Facebook,carousel,10/18/2023 02:33,754,451,201,Wednesday,negative
368,Instagram,carousel,10/17/2023 17:27,4304,728,372,Tuesday,positive
369,LinkedIn,poll,04/13/2023 10:33,4291,311,327,Thursday,neutral
370,Instagram,video,05/22/2023 00:05,3370,556,552,Monday,neutral
371,Twitter,image,12/28/2023 20:16,4239,308,895,Thursday,negative
372,LinkedIn,text,05/31/2023 18:18,2640,216,222,Wednesday,positive
373,Instagram,image,03/12/2023 05:59,3173,762,334,Sunday,positive
374,Twitter,poll,06/20/2023 22:32,1087,31,183,Tuesday,negative
375,Instagram,video,09/28/2023 17:05,2889,527,419,Thursday,neutral
376,Facebook,poll,11/02/2023 00:52,1148,761,622,Thursday,negative
377,LinkedIn,text,02/12/2023 11:13,2380,278,658,Sunday,neutral
378,Instagram,video,05/11/2023 20:02,1358,607,788,Thursday,negative
379,Instagram,poll,12/15/2023 13:48,3781,657,548,Friday,positive
380,Instagram,poll,03/31/2023 11:31,4845,10,430,Friday,positive
381,Facebook,carousel,06/13/2023 09:20,4328,511,477,Tuesday,negative
382,Facebook,video,09/13/2023 16:52,4670,94,851,Wednesday,positive
383,Instagram,video,05/10/2023 06:10,1449,707,491,Wednesday,positive
384,Twitter,poll,06/29/2023 08:20,4397,618,448,Thursday,negative
385,Twitter,image,09/21/2023 10:19,1964,388,333,Thursday,positive
386,Facebook,poll,10/24/2023 06:02,4589,371,979,Tuesday,neutral
387,Facebook,video,05/12/2023 11:33,3780,751,68,Friday,neutral
388,Twitter,carousel,05/19/2023 10:33,4393,408,299,Friday,negative
389,Twitter,video,08/05/2023 16:15,1748,344,704,Saturday,positive
390,Facebook,carousel,01/15/2023 23:29,2501,564,400,Sunday,negative
391,Instagram,text,07/02/2023 21:13,2031,362,649,Sunday,positive
392,Twitter,image,11/16/2023 23:35,2784,766,246,Thursday,neutral
393,Instagram,video,06/24/2023 20:45,3970,57,133,Saturday,positive
394,Twitter,image,11/01/2023 18:33,4303,424,265,Wednesday,negative
395,Instagram,image,04/09/2023 13:02,2539,557,172,Sunday,neutral
396,LinkedIn,carousel,02/14/2023 10:58,2368,560,546,Tuesday,positive
397,Facebook,image,03/12/2023 10:36,4433,648,902,Sunday,positive
398,Twitter,video,06/25/2023 19:54,2081,730,154,Sunday,neutral
399,LinkedIn,poll,09/15/2023 10:51,4871,638,477,Friday,positive
400,Facebook,poll,05/23/2023 23:37,4811,432,668,Tuesday,positive
401,LinkedIn,poll,01/14/2023 08:29,2021,766,495,Saturday,neutral
402,Facebook,image,06/17/2023 19:25,149,81,525,Saturday,negative
403,LinkedIn,image,12/31/2023 20:37,2550,726,904,Sunday,negative
404,LinkedIn,video,12/23/2023 09:59,1716,320,737,Saturday,neutral
405,Twitter,text,08/29/2023 11:41,765,775,230,Tuesday,positive
406,LinkedIn,text,10/29/2023 18:56,948,676,681,Sunday,negative
407,Twitter,carousel,03/09/2023 04:28,3956,688,453,Thursday,negative
408,Twitter,poll,09/01/2023 18:07,1355,293,857,Friday,negative
409,LinkedIn,text,06/18/2023 18:43,1515,499,990,Sunday,positive
410,Twitter,poll,08/21/2023 01:17,4754,161,827,Monday,negative
411,Instagram,image,04/23/2023 19:18,1829,374,582,Sunday,positive
412,Twitter,image,02/10/2023 19:31,919,587,604,Friday,neutral
413,Twitter,video,07/10/2023 19:01,4645,191,654,Monday,negative
414,Facebook,carousel,02/08/2023 11:42,2753,57,650,Wednesday,negative
415,Instagram,poll,01/29/2023 05:38,2711,644,21,Sunday,positive
416,LinkedIn,image,05/23/2023 02:31,3030,141,340,Tuesday,negative
417,Instagram,image,09/08/2023 19:27,2923,493,828,Friday,neutral
418,LinkedIn,video,06/20/2023 20:51,1921,470,291,Tuesday,negative
419,Instagram,video,08/21/2023 22:10,3574,498,568,Monday,neutral
420,LinkedIn,image,07/31/2023 14:27,572,390,144,Monday,positive
421,LinkedIn,video,03/09/2023 13:48,4452,700,676,Thursday,positive
422,Instagram,carousel,03/26/2023 20:26,1753,326,451,Sunday,neutral
423,Twitter,text,08/08/2023 16:18,1683,334,476,Tuesday,positive
424,Twitter,video,11/19/2023 13:17,3999,763,790,Sunday,positive
425,Twitter,image,05/12/2023 03:22,1993,233,118,Friday,neutral
426,Facebook,poll,04/26/2023 21:54,547,591,292,Wednesday,positive
427,Instagram,image,06/27/2023 17:09,898,311,999,Tuesday,positive
428,Facebook,image,07/29/2023 10:44,4645,457,408,Saturday,positive
429,Instagram,video,05/28/2023 01:25,190,318,59,Sunday,negative
430,Twitter,poll,03/12/2023 05:22,248,588,828,Sunday,negative
431,Facebook,poll,01/09/2023 19:15,3750,304,305,Monday,neutral
432,Instagram,text,01/01/2023 16:15,2268,570,162,Sunday,positive
433,Instagram,video,01/04/2023 06:28,3193,333,409,Wednesday,positive
434,Twitter,text,05/19/2023 17:03,1775,405,582,Friday,positive
435,LinkedIn,text,07/02/2023 20:11,4728,176,152,Sunday,negative
436,Instagram,video,12/03/2023 16:01,862,432,341,Sunday,neutral
437,Instagram,text,03/05/2023 21:11,4795,670,410,Sunday,neutral
438,Instagram,poll,12/25/2023 15:04,2960,195,341,Monday,neutral
439,Twitter,poll,01/08/2023 18:37,2314,334,51,Sunday,positive
440,Facebook,poll,08/13/2023 05:38,113,618,358,Sunday,positive
441,Instagram,video,04/17/2023 07:53,4966,123,469,Monday,neutral
442,Facebook,text,12/23/2023 05:12,3243,331,876,Saturday,negative
443,LinkedIn,video,04/26/2023 06:47,995,491,245,Wednesday,positive
444,LinkedIn,poll,08/15/2023 13:17,1647,422,661,Tuesday,negative
445,Instagram,carousel,08/30/2023 18:01,3712,71,723,Wednesday,neutral
446,Instagram,poll,09/01/2023 12:06,304,122,600,Friday,positive
447,Facebook,video,07/29/2023 08:55,3527,19,812,Saturday,neutral
448,Facebook,video,06/06/2023 01:41,1518,719,652,Tuesday,negative
449,Instagram,video,12/09/2023 06:40,925,797,284,Saturday,positive
450,Instagram,video,07/25/2023 11:15,780,749,199,Tuesday,neutral
451,Twitter,image,10/27/2023 17:46,73,239,802,Friday,positive
452,LinkedIn,poll,03/25/2023 14:06,4856,692,619,Saturday,positive
453,Twitter,video,10/07/2023 10:34,1854,12,494,Saturday,negative
454,Instagram,carousel,12/07/2023 02:47,1786,411,529,Thursday,positive
455,LinkedIn,text,02/14/2023 03:33,1374,272,649,Tuesday,negative
456,LinkedIn,poll,06/10/2023 23:17,803,84,555,Saturday,negative
457,Twitter,image,05/14/2023 04:32,1548,712,342,Sunday,negative
458,Twitter,carousel,08/09/2023 21:48,503,145,190,Wednesday,positive
459,Facebook,text,02/24/2023 13:20,2213,149,571,Friday,neutral
460,Twitter,carousel,03/30/2023 14:19,3497,301,509,Thursday,neutral
461,Instagram,poll,06/24/2023 22:20,1430,452,40,Saturday,positive
462,LinkedIn,image,10/11/2023 16:30,3321,125,229,Wednesday,negative
463,Twitter,text,11/02/2023 02:59,511,337,223,Thursday,negative
464,Instagram,text,06/15/2023 20:45,4981,435,847,Thursday,positive
465,LinkedIn,poll,07/06/2023 05:09,3805,595,983,Thursday,negative
466,Twitter,text,10/14/2023 00:57,1096,135,643,Saturday,positive
467,Twitter,text,05/17/2023 02:05,3758,238,909,Wednesday,positive
468,LinkedIn,poll,08/10/2023 05:07,2729,459,387,Thursday,positive
469,Instagram,video,06/26/2023 12:06,2638,430,528,Monday,negative
470,Instagram,video,12/31/2023 07:38,3615,449,600,Sunday,positive
471,Instagram,carousel,04/26/2023 03:14,917,675,130,Wednesday,negative
472,Instagram,image,09/03/2023 15:43,180,749,971,Sunday,positive
473,LinkedIn,carousel,06/06/2023 13:03,3082,204,404,Tuesday,neutral
474,Twitter,image,06/15/2023 07:46,560,145,229,Thursday,neutral
475,Facebook,video,05/09/2023 10:59,2237,728,994,Tuesday,neutral
476,LinkedIn,carousel,05/16/2023 02:42,3615,586,569,Tuesday,neutral
477,LinkedIn,poll,11/06/2023 07:08,3594,266,191,Monday,positive
478,Twitter,carousel,08/07/2023 04:33,4018,62,59,Monday,neutral
479,Facebook,text,11/06/2023 02:54,3759,728,779,Monday,negative
480,Instagram,text,11/24/2023 04:08,626,212,133,Friday,negative
481,Instagram,video,11/10/2023 18:05,564,610,199,Friday,neutral
482,LinkedIn,video,04/03/2023 00:01,1315,228,817,Monday,negative
483,Instagram,text,09/08/2023 03:04,3148,11,120,Friday,negative
484,Twitter,video,08/14/2023 06:36,2703,531,807,Monday,negative
485,LinkedIn,video,07/02/2023 21:05,1344,417,193,Sunday,neutral
